0,4,340,549,383,532,0,0,0,2
40,190
40,230
40,270
40,310
40,350
80,190
80,230
80,270
80,310
80,350
120,190
120,230
120,270
120,310
120,350
160,190
160,230
160,270
160,310
160,350
200,190
200,230
200,270
200,310
200,350
240,190
240,230
240,270
240,310
240,350
280,190
280,230
280,270
280,310
280,350
320,190
320,230
320,270
320,310
320,350
360,190
360,230
360,270
360,310
360,350
410,190
410,230
410,270
410,310
410,350
450,190
450,230
450,270
450,310
450,350
490,190
490,230
490,270
490,310
490,350
530,190
530,230
530,270
530,310
530,350
570,190
570,230
570,270
570,310
570,350
610,190
610,230
610,270
610,310
610,350
650,190
650,230
650,270
650,310
650,350
690,190
690,230
690,270
690,310
690,350
730,190
730,230
730,270
730,310
730,350
